,date,NH3,NH4,HNO3,SO4,SO2,day.type,pressure,RH,temperature,SWD,pm10,pm25,CS
369,2017/10/05,0.087002063,0.017455558,0.052366674,0.053375955,0.022875409,Non,943.6125000000001,81.6125,-3.0541666666666667,9.362583333333333,6.28087316046451,6.28087316046451,0.00247535
370,2017/10/06,0.104402475,0.017455558,0.052366674,0.030500546,0.022875409,NPF,951.4458333333333,68.7,-2.829166666666667,6.415958333333333,2.65951725122551,2.65951725122551,0.0025587889515797167
371,2017/10/07,0.1392033,0.017455558,0.052366674,0.061001092,0.022875409,Non,954.1374999999999,81.5,-3.158333333333333,6.067333333333334,2.98220856304439,2.98220856304439,0.00200805
372,2017/10/08,0.104402475,0.017455558,0.052366674,0.022875409,0.022875409,Non,953.4041666666667,89.45,-2.6041666666666665,3.621583333333333,0.813881519929132,0.813881519929132,0.00062455
373,2017/10/09,0.104402475,0.017455558,0.052366674,0.030500546,0.022875409,Non,955.1083333333332,90.8,-1.1583333333333334,4.59375,0.379462873402642,0.379462873402642,0.0004664
374,2017/10/10,0.104402475,0.017455558,0.052366674,0.038125682,0.022875409,Non,956.7958333333332,90.8,0.4375,4.4784999999999995,0.861203171065127,0.861203171065127,0.0013885
375,2017/10/11,0.104402475,0.017455558,0.052366674,0.022875409,0.022875409,NPF,956.6416666666668,89.72500000000001,0.39999999999999997,6.679083333333334,0.356511487940767,0.356511487940767,0.0002191
376,2017/10/12,0.087002063,0.017455558,0.052366674,0.068626228,0.022875409,Non,954.7666666666668,72.05833333333334,-0.9166666666666666,4.683375000000001,2.83260741630906,2.83260741630906,0.00207
377,2017/10/13,0.087002063,0.017455558,0.052366674,0.122002183,0.022875409,Non,954.4458333333333,75.56666666666666,1.7166666666666668,4.54725,8.51210553628276,8.51210553628276,0.0093403
378,2017/10/14,0.087002063,0.052366674,0.052366674,0.144877592,0.022875409,Non,951.6958333333333,74.55416666666666,1.7708333333333333,4.304958333333333,16.6484112008288,16.6484112008288,0.0139813
379,2017/10/15,0.104402475,0.034911116,0.052366674,0.144877592,0.022875409,Non,951.8708333333334,78.05416666666666,1.3291666666666666,3.574291666666667,15.0083144999141,15.0083144999141,0.01020255
380,2017/10/16,0.104402475,0.017455558,0.052366674,0.099126774,0.022875409,Non,949.2791666666667,74.83749999999999,0.4458333333333333,1.9444166666666665,12.0484200395858,12.0484200395858,0.01016705
381,2017/10/17,0.104402475,0.069822232,0.052366674,0.144877592,0.022875409,Non,952.8083333333334,83.35833333333333,-0.6208333333333333,1.1131666666666666,6.31339425045879,6.31339425045879,0.004654536082204593
382,2017/10/18,0.087002063,0.017455558,0.052366674,0.175378138,0.022875409,Non,958.4208333333332,80.97916666666667,-2.5749999999999997,1.3791666666666667,15.5264780159493,15.5264780159493,0.009938866635692016
383,2017/10/19,0.087002063,0.017455558,0.052366674,0.091501637,0.022875409,Non,958.2791666666667,81.13333333333334,-1.6083333333333334,0.95975,5.67930917796854,5.67930917796854,0.004290845139263066
384,2017/10/20,0.087002063,0.017455558,0.034911116,0.053375955,0.015250273,Non,954.9916666666667,84.32083333333334,-2.0625,1.484,3.18920259500469,3.18920259500469,0.0028625995449828895
385,2017/10/21,0.104402475,0.017455558,0.052366674,0.061001092,0.022875409,Non,957.9333333333334,86.71666666666665,-2.5124999999999997,0.8263333333333334,2.8291861845854,2.8291861845854,0.002656105632004314
386,2017/10/22,0.104402475,0.017455558,0.052366674,0.068626228,0.022875409,Non,955.1458333333334,86.59583333333335,0.775,0.292375,2.70545375243876,2.70545375243876,0.0025851366613216745
387,2017/10/23,0.156603713,0.017455558,0.052366674,0.038125682,0.022875409,Non,949.3541666666666,90.50833333333333,-2.8375,0.288875,0.83659078578448,0.83659078578448,0.001513216560913625
388,2017/10/24,0.06960165,0.017455558,0.034911116,0.015250273,0.015250273,Non,950.2541666666666,86.625,-9.950000000000001,0.43120833333333336,1.71532188859793,1.71532188859793,0.002017228652097471
389,2017/10/25,0.104402475,0.017455558,0.052366674,0.045750819,0.022875409,Non,945.9458333333333,83.25,-9.941666666666666,0.39025,0.977529469410048,0.977529469410048,0.0015940544878236748
390,2017/10/26,0.104402475,0.017455558,0.052366674,0.038125682,0.022875409,Non,936.8375,88.23333333333333,-5.229166666666667,0.28195833333333337,1.09537353302234,1.09537353302234,0.0016616460784077201
391,2017/10/27,0.087002063,0.017455558,0.052366674,0.045750819,0.022875409,Non,928.5583333333334,71.05833333333334,-5.6375,0.18400000000000002,1.74458409089605,1.74458409089605,0.002034012516610403
392,2017/10/28,0.087002063,0.017455558,0.034911116,0.053375955,0.015250273,Non,935.0375,81.4375,-9.195833333333333,0.15625,4.89413358870288,4.89413358870288,0.003840493502197698
393,2017/10/29,0.104402475,0.017455558,0.052366674,0.12962732,0.022875409,Non,940.3874999999999,86.16250000000001,-11.1,0.2020833333333333,8.80562762956734,8.80562762956734,0.00608400153881692
394,2017/10/30,0.104402475,0.017455558,0.052366674,0.030500546,0.022875409,Non,940.1291666666666,70.50416666666666,-7.679166666666667,-0.10829166666666667,3.48443276689782,3.48443276689782,0.003031934141015747
395,2017/10/31,0.104402475,0.017455558,0.052366674,0.045750819,0.038125682,Non,939.7083333333334,82.54583333333333,-8.704166666666667,0.029875000000000002,3.36075274569393,3.36075274569393,0.0029609952315757006
396,2017/11/01,0.087002063,0.017455558,0.052366674,0.061001092,0.022875409,Non,936.85,79.34166666666667,-8.829166666666667,0.042375,2.37649341913288,2.37649341913288,0.00239645552214817
397,2017/11/02,0.087002063,0.017455558,0.052366674,0.045750819,0.022875409,Non,929.3541666666666,68.82916666666667,-5.883333333333333,-0.03266666666666667,1.4010794077966,1.4010794077966,0.0018369892029868348
398,2017/11/03,0.087002063,0.017455558,0.034911116,0.038125682,0.045750819,undefined,927.1333333333333,64.27916666666667,-5.1125,-0.30895833333333333,0.0,0.0,0.0010333748094855013
399,2017/11/04,0.087002063,0.034911116,0.052366674,0.099126774,0.022875409,undefined,933.6416666666668,66.77916666666667,-4.25,-0.34237500000000004,0.0,0.0,0.0010333748094855013
400,2017/11/05,0.104402475,0.052366674,0.052366674,0.205878684,0.083876501,undefined,946.4666666666667,58.77916666666667,-5.520833333333333,-0.1729166666666667,0.0,0.0,0.0010333748094855013
401,2017/11/06,0.156603713,0.052366674,0.052366674,0.083876501,0.038125682,Non,955.0708333333333,71.12083333333334,-5.395833333333333,-0.002125000000000002,15.5665698377,15.5665698377,0.0099618620239914
402,2017/11/07,0.1392033,0.104733348,0.034911116,0.21350382,0.221128957,Non,960.375,71.95416666666667,-7.620833333333334,-0.29725,10.7304457606061,10.7304457606061,0.007188015734134849
403,2017/11/08,0.104402475,0.052366674,0.052366674,0.114377047,0.030500546,Non,954.9125,69.66250000000001,-5.933333333333334,-0.7457916666666667,9.2812394535115,9.2812394535115,0.006356797288518236
404,2017/11/09,0.1392033,0.052366674,0.052366674,0.175378138,0.12962732,Non,944.6791666666667,63.675000000000004,-5.204166666666667,-0.15795652173913044,5.56696554935557,5.56696554935557,0.004226408422493721
405,2017/11/10,0.087002063,0.034911116,0.034911116,0.099126774,0.061001092,Non,945.3583333333332,64.64999999999999,-4.8,-0.2930833333333333,7.75351109130577,7.75351109130577,0.005480541100327242
406,2017/11/11,0.121802888,0.017455558,0.052366674,0.068626228,0.022875409,Non,941.6125000000001,63.01666666666667,-5.004166666666666,0.0,11.6895123634635,11.6895123634635,0.007738105701979499
407,2017/11/12,0.208804951,0.017455558,0.052366674,0.068626228,0.022875409,Non,942.85,64.92083333333333,-3.0875,-0.043000000000000003,1.20098315764498,1.20098315764498,0.001722220385593132
408,2017/11/13,0.104402475,0.069822232,0.052366674,0.198253547,0.045750819,Non,945.4,70.49166666666666,-3.4333333333333336,-0.15558333333333332,1.75202497710631,1.75202497710631,0.0020382803712556824
409,2017/11/14,0.1392033,0.034911116,0.052366674,0.091501637,0.076251364,undefined,948.6791666666667,76.4375,-2.7416666666666667,0.024333333333333335,1.59617226302232,1.59617226302232,0.0019488882328749543
